start,end,arrivals,departures
10:00,10:30,18,12
10:30,11:00,18,11
11:00,11:30,7,25
11:30,12:00,3,22
12:00,12:30,7,19
12:30,13:00,5,6
13:00,13:30,12,7
13:30,14:00,10,6
14:00,14:30,25,6
14:30,15:00,18,12
15:00,15:30,12,18
15:30,16:00,2,18
16:00,16:30,3,16
16:30,17:00,5,4
17:00,17:30,8,3
17:30,18:00,12,10
18:00,18:30,13,8
18:30,19:00,12,7
19:00,19:30,12,7
19:30,20:00,12,8
20:00,20:30,15,3
20:30,21:00,17,6
21:00,21:30,9,16
21:30,22:00,4,10
22:00,22:30,2,13
22:30,23:00,1,1
23:00,23:30,2,0
23:30,00:00,0,0
00:00,00:30,0,0
00:30,01:00,0,0
01:00,01:30,0,0
01:30,02:00,0,0
02:00,02:30,0,0
02:30,03:00,0,0
03:00,03:30,0,0
03:30,04:00,0,0
04:00,04:30,0,0
04:30,05:00,0,0
05:00,05:30,1,0
05:30,06:00,5,0
06:00,06:30,4,3
06:30,07:00,7,3
07:00,07:30,11,10
07:30,08:00,12,10
08:00,08:30,9,10
08:30,09:00,4,16
09:00,09:30,16,16
09:30,10:00,19,5
